S No,Binary Bit R,Binary Sent,Analog Val,Analog,1-2NTU
212,0,0,99,0.483398438,
213,0,0,93,0.454101563,
214,1,1,136,0.6640625,
215,0,0,95,0.463867188,
216,1,1,122,0.595703125,
217,0,0,98,0.478515625,
218,1,1,122,0.595703125,
219,0,0,98,0.478515625,
220,0,0,97,0.473632813,
221,0,0,98,0.478515625,
222,1,1,141,0.688476563,
223,0,0,95,0.463867188,
224,0,0,98,0.478515625,
225,0,0,95,0.463867188,
226,1,1,123,0.600585938,
227,1,1,143,0.698242188,
228,0,0,99,0.483398438,
229,0,0,96,0.46875,
230,1,1,137,0.668945313,
231,0,0,99,0.483398438,
232,0,0,97,0.473632813,
233,0,0,96,0.46875,
234,1,1,121,0.590820313,
235,1,1,140,0.68359375,
236,0,0,97,0.473632813,
237,0,0,96,0.46875,
238,1,1,137,0.668945313,
239,0,0,94,0.458984375,
240,0,0,71,0.346679688,4-5NTU
241,1,0,103,0.502929688,
242,0,0,98,0.478515625,
243,1,0,103,0.502929688,
244,1,1,103,0.502929688,
245,1,0,102,0.498046875,
246,0,0,69,0.336914063,
247,0,1,71,0.346679688,
248,1,0,103,0.502929688,
249,0,0,76,0.37109375,
250,0,1,90,0.439453125,
251,0,0,69,0.336914063,
252,0,0,92,0.44921875,
253,1,0,101,0.493164063,
254,1,1,102,0.498046875,
255,1,0,102,0.498046875,
256,0,1,76,0.37109375,
257,0,0,97,0.473632813,
258,0,0,72,0.3515625,
259,0,0,67,0.327148438,
260,0,1,68,0.33203125,
261,0,1,74,0.361328125,
262,0,0,70,0.341796875,
263,0,0,95,0.463867188,
264,0,1,75,0.366210938,
265,0,1,74,0.361328125,
266,0,0,97,0.473632813,
267,0,0,68,0.33203125,
268,0,0,68,0.33203125,
269,0,1,97,0.473632813,
270,0,1,66,0.322265625,
271,0,0,75,0.366210938,
272,0,1,91,0.444335938,
273,0,0,76,0.37109375,
274,0,1,97,0.473632813,
275,0,1,76,0.37109375,
276,0,0,70,0.341796875,
277,0,1,64,0.3125,
278,0,1,95,0.463867188,
279,0,1,73,0.356445313,
280,0,1,75,0.366210938,
281,0,0,78,0.380859375,
282,0,0,93,0.454101563,
283,0,1,100,0.48828125,
284,0,0,73,0.356445313,
285,0,1,69,0.336914063,
286,0,1,92,0.44921875,
287,0,0,70,0.341796875,
288,0,0,68,0.33203125,
289,0,1,70,0.341796875,
290,0,0,63,0.307617188,
291,0,1,97,0.473632813,
292,1,0,103,0.502929688,
293,0,0,75,0.366210938,
294,0,0,74,0.361328125,
295,0,0,98,0.478515625,
296,0,1,90,0.439453125,
297,0,0,100,0.48828125,
298,1,0,101,0.493164063,
299,1,0,101,0.493164063,
300,0,0,67,0.327148438,
301,0,1,70,0.341796875,
302,0,0,97,0.473632813,
303,0,0,71,0.346679688,
304,0,1,71,0.346679688,
305,0,0,91,0.444335938,
306,0,0,69,0.336914063,
307,0,1,93,0.454101563,
308,0,0,70,0.341796875,
309,0,1,73,0.356445313,
310,0,0,70,0.341796875,
311,0,1,74,0.361328125,
312,0,0,65,0.317382813,
313,0,0,67,0.327148438,
314,0,1,70,0.341796875,
315,0,0,70,0.341796875,
316,0,1,98,0.478515625,
317,0,1,78,0.380859375,
318,0,0,73,0.356445313,
319,0,1,88,0.4296875,
320,0,0,93,0.454101563,5-6NTU
321,0,0,98,0.478515625,
322,0,0,95,0.463867188,
323,0,1,96,0.46875,
324,0,0,97,0.473632813,
325,0,0,97,0.473632813,
326,0,1,80,0.390625,
327,0,0,93,0.454101563,
328,0,1,98,0.478515625,
329,0,1,95,0.463867188,
330,0,0,96,0.46875,
331,0,1,97,0.473632813,
332,0,0,97,0.473632813,
333,0,0,80,0.390625,
334,0,1,94,0.458984375,
335,0,0,73,0.356445313,
336,0,1,86,0.419921875,
337,0,1,68,0.33203125,
338,0,0,85,0.415039063,
339,0,0,95,0.463867188,
340,0,0,98,0.478515625,
341,0,1,98,0.478515625,
342,0,0,65,0.317382813,
343,0,0,92,0.44921875,
344,0,1,82,0.400390625,
345,0,0,79,0.385742188,
346,0,1,67,0.327148438,
347,0,1,73,0.356445313,
348,0,0,81,0.395507813,
349,0,0,95,0.463867188,
350,0,1,76,0.37109375,
351,0,1,78,0.380859375,
352,0,0,75,0.366210938,
353,0,0,95,0.463867188,
354,0,1,77,0.375976563,
355,0,0,88,0.4296875,
356,0,1,75,0.366210938,
357,0,1,80,0.390625,
358,0,1,79,0.385742188,
359,0,1,89,0.434570313,
360,0,1,76,0.37109375,
361,0,1,93,0.454101563,
362,0,0,70,0.341796875,
363,0,0,72,0.3515625,
364,0,1,74,0.361328125,
365,0,0,94,0.458984375,
366,0,1,98,0.478515625,
367,0,0,99,0.483398438,
368,0,0,76,0.37109375,
369,0,1,74,0.361328125,
370,0,0,78,0.380859375,
371,0,1,91,0.444335938,
372,0,0,98,0.478515625,
373,0,0,76,0.37109375,
374,0,0,96,0.46875,
375,0,0,97,0.473632813,
376,0,1,97,0.473632813,
377,0,0,78,0.380859375,
378,0,0,76,0.37109375,
379,0,0,79,0.385742188,
380,0,0,89,0.434570313,
381,0,1,94,0.458984375,
382,0,0,74,0.361328125,
383,0,1,90,0.439453125,
384,0,0,96,0.46875,
385,0,0,96,0.46875,
386,0,1,96,0.46875,
387,0,0,77,0.375976563,
388,0,1,92,0.44921875,
389,0,0,95,0.463867188,
390,0,0,73,0.356445313,
391,0,0,83,0.405273438,
392,0,0,86,0.419921875,
393,0,1,94,0.458984375,
394,0,0,97,0.473632813,
395,0,1,97,0.473632813,
396,0,1,80,0.390625,
397,0,0,72,0.3515625,
398,0,0,74,0.361328125,
399,0,1,72,0.3515625,
